,Recon Loss,Learning Rate,DetEval,batch size,hidden size,latent size,fixed variance,dropout rate,L2 weight,noise layer std,optimizer,nonlinearity,residual user info,RMSE
135,MSE,0.0001,True,64.0,1024.0,512.0,0.0,0.1,0.001,0.5,Adam,LeakyRelu,True,1.15315842628479
136,Likelihood,1e-05,False,32.0,2048.0,512.0,0.5,0.3,0.0,0.3,RMSProp,Relu,True,1.1965346336364746
137,MSE,5e-05,False,32.0,1024.0,512.0,0.5,0.0,0.0,0.0,Adagrad,LeakyRelu,True,1.297098159790039
138,Likelihood,5e-05,False,128.0,2048.0,512.0,0.1,0.5,0.0,0.0,Adagrad,Relu,True,2.0233139991760254
139,Likelihood,0.0001,False,32.0,2048.0,2048.0,0.3,0.3,1e-05,0.1,Adam,Relu,True,1.1801097393035889
140,Likelihood,1e-05,True,128.0,1024.0,2048.0,0.1,0.1,0.0,0.3,RMSProp,Sigmoid,True,1.2180215120315552
141,Likelihood,5e-05,False,64.0,2048.0,1024.0,0.5,0.5,0.0,0.3,Adam,Relu,True,1.194417119026184
142,Likelihood,5e-05,False,32.0,4096.0,2048.0,0.5,0.5,0.0,0.0,Adagrad,Relu,False,1.3869659900665283
143,MSE,0.0001,True,64.0,2048.0,2048.0,0.1,0.5,0.0,0.1,Adagrad,LeakyRelu,True,1.5269813537597656
144,Likelihood,1e-05,False,128.0,4096.0,1024.0,0.0,0.0,0.0,0.3,RMSProp,LeakyRelu,True,1.1980725526809692
145,Likelihood,0.0001,False,128.0,2048.0,1024.0,0.1,0.0,0.001,0.5,Adam,LeakyRelu,True,1.1555356979370115
146,Likelihood,5e-06,False,32.0,1024.0,512.0,0.1,0.0,0.0,0.5,RMSProp,LeakyRelu,False,1.2269668579101562
147,Likelihood,0.0001,False,32.0,2048.0,512.0,0.3,0.1,0.0,0.0,Adam,Sigmoid,True,1.157077074050903
148,MSE,0.0001,True,32.0,4096.0,2048.0,0.0,0.0,1e-05,0.3,Adam,LeakyRelu,False,1.1959152221679688
149,MSE,0.0001,False,32.0,1024.0,2048.0,0.5,0.3,0.0,0.0,Adagrad,Relu,True,1.3831710815429688
150,MSE,1e-05,True,128.0,4096.0,512.0,0.3,0.5,0.0,0.1,RMSProp,Tanh,False,0.8704240322113037
151,MSE,5e-05,True,32.0,2048.0,512.0,0.0,0.0,0.0,0.0,Adagrad,Relu,False,1.2028367519378662
152,Likelihood,5e-06,False,128.0,1024.0,2048.0,0.5,0.0,0.0,0.3,RMSProp,Sigmoid,False,1.3585388660430908
153,Likelihood,0.0001,True,32.0,2048.0,1024.0,0.5,0.1,0.001,0.1,Adam,LeakyRelu,True,1.1741211414337158
154,Likelihood,1e-05,False,32.0,1024.0,2048.0,0.5,0.1,0.0,0.3,RMSProp,Tanh,False,1.1471619606018066
155,Likelihood,5e-05,True,32.0,4096.0,512.0,0.1,0.1,1e-05,0.5,Adam,Sigmoid,False,1.1685214042663574
156,Likelihood,5e-05,True,32.0,4096.0,2048.0,0.1,0.3,0.0,0.5,Adagrad,Tanh,False,1.2663317918777466
157,MSE,5e-05,True,32.0,4096.0,1024.0,0.3,0.5,0.0,0.3,Adam,Sigmoid,True,1.175578474998474
158,Likelihood,5e-05,True,64.0,1024.0,512.0,0.1,0.1,0.0,0.5,Adagrad,Tanh,False,1.3581581115722656
159,MSE,5e-05,False,128.0,2048.0,512.0,0.5,0.0,0.0,0.0,Adagrad,Relu,False,1.2351343631744385
160,MSE,0.0001,False,32.0,2048.0,512.0,0.1,0.1,0.0,0.3,Adagrad,Relu,True,1.3364441394805908
161,MSE,0.0001,True,32.0,1024.0,2048.0,0.1,0.0,1e-05,0.5,Adam,Sigmoid,False,1.2160656452178955
162,Likelihood,0.0001,True,128.0,1024.0,1024.0,0.0,0.5,0.0,0.3,Adagrad,Tanh,False,1.327550768852234
163,MSE,5e-06,False,32.0,2048.0,512.0,0.0,0.1,0.0,0.5,RMSProp,Relu,True,1.1538102626800537
164,Likelihood,5e-05,False,128.0,2048.0,2048.0,0.5,0.5,0.0,0.1,Adagrad,Sigmoid,True,1.3592616319656372
165,Likelihood,1e-05,True,64.0,1024.0,1024.0,0.5,0.5,0.0,0.5,RMSProp,LeakyRelu,False,1.2911458015441897
166,Likelihood,5e-05,True,128.0,1024.0,512.0,0.5,0.0,0.0,0.0,Adagrad,LeakyRelu,True,1.379569172859192
167,MSE,5e-06,False,64.0,4096.0,512.0,0.0,0.0,0.0,0.3,RMSProp,Relu,True,1.1566734313964844
168,MSE,1e-05,False,128.0,4096.0,2048.0,0.3,0.0,0.0,0.1,RMSProp,Relu,False,0.9517746567726136
169,MSE,5e-05,True,64.0,1024.0,2048.0,0.0,0.3,0.0,0.0,Adagrad,Relu,False,1.4207310676574707
170,MSE,5e-05,True,32.0,2048.0,1024.0,0.0,0.1,0.0,0.0,Adagrad,LeakyRelu,True,1.563310146331787
171,MSE,0.0001,False,64.0,1024.0,2048.0,0.5,0.0,0.0001,0.3,Adam,Sigmoid,False,1.2088335752487185
172,MSE,5e-05,True,128.0,2048.0,2048.0,0.3,0.0,0.0001,0.1,Adam,LeakyRelu,True,1.0398426055908203
173,MSE,5e-05,False,128.0,4096.0,1024.0,0.0,0.5,0.001,0.1,Adam,LeakyRelu,True,1.1879104375839231
174,Likelihood,0.0001,False,128.0,1024.0,2048.0,0.1,0.3,1e-05,0.5,Adam,Sigmoid,True,1.2010178565979004
175,MSE,1e-05,True,64.0,2048.0,2048.0,0.3,0.1,0.0,0.5,RMSProp,Relu,True,1.1818044185638428
176,Likelihood,5e-05,True,128.0,1024.0,2048.0,0.0,0.5,0.0,0.0,Adagrad,Sigmoid,True,1.5684349536895752
177,MSE,5e-05,False,32.0,2048.0,2048.0,0.1,0.0,0.0,0.0,Adam,Sigmoid,True,1.1016062498092651
178,Likelihood,0.0001,True,128.0,4096.0,1024.0,0.5,0.0,1e-05,0.5,Adam,Sigmoid,True,1.1848809719085691
179,MSE,5e-05,True,64.0,1024.0,1024.0,0.1,0.3,0.0,0.3,Adagrad,Tanh,False,1.2730194330215454
180,Likelihood,5e-05,True,128.0,4096.0,1024.0,0.1,0.3,0.0,0.5,Adam,Relu,False,1.2491207122802734
181,Likelihood,5e-05,True,64.0,2048.0,1024.0,0.5,0.5,0.0,0.5,Adagrad,Tanh,True,1.3554059267044067
182,MSE,1e-05,True,64.0,2048.0,2048.0,0.0,0.5,0.0,0.0,RMSProp,Sigmoid,True,1.1894049644470217
183,Likelihood,0.0001,True,128.0,1024.0,2048.0,0.5,0.1,0.001,0.5,Adam,Relu,True,1.1938906908035278
184,Likelihood,0.0001,False,64.0,4096.0,2048.0,0.1,0.3,0.0,0.3,Adagrad,LeakyRelu,False,1.452852725982666
185,Likelihood,0.0001,False,32.0,4096.0,2048.0,0.1,0.5,0.0001,0.5,Adam,LeakyRelu,False,1.347959280014038
186,MSE,5e-06,False,64.0,4096.0,1024.0,0.3,0.1,0.0,0.0,RMSProp,Sigmoid,False,1.2046892642974854
187,Likelihood,0.0001,False,32.0,1024.0,2048.0,0.0,0.0,0.0,0.5,Adagrad,Sigmoid,False,1.3426272869110107
188,MSE,1e-05,False,128.0,2048.0,2048.0,0.0,0.0,0.0,0.1,RMSProp,Tanh,True,1.1719214916229248
189,MSE,0.0001,False,32.0,4096.0,512.0,0.1,0.3,0.0,0.3,Adam,Tanh,True,0.817238986492157
190,Likelihood,5e-06,True,64.0,4096.0,2048.0,0.0,0.5,0.0,0.0,RMSProp,Relu,True,1.2753973007202148
191,Likelihood,5e-06,False,128.0,1024.0,1024.0,0.1,0.5,0.0,0.5,RMSProp,Sigmoid,True,1.2606289386749268
192,Likelihood,0.0001,True,32.0,4096.0,512.0,0.0,0.5,1e-05,0.0,Adam,Tanh,False,0.7947971820831299
193,Likelihood,5e-05,True,32.0,1024.0,2048.0,0.5,0.1,0.0001,0.5,Adam,Sigmoid,True,1.192562699317932
